id,rating,review_text,order_id,product_id,customer_id
REV20231,1,"very bad",ORD10231,PROD101,CUST2188
REV20232,3,average,ORD10232,PROD111,CUST2162
REV20233,2,bad,ORD10233,PROD106,CUST3181
REV20234,4,good,ORD10234,PROD104,CUST1011
REV20235,3,average,ORD10235,PROD104,CUST1587
REV20236,2,bad,ORD10236,PROD102,CUST3656
REV20237,3,average,ORD10237,PROD104,CUST1366
REV20238,5,"very good",ORD10238,PROD108,CUST2406
REV20239,4,good,ORD10239,PROD113,CUST2944
REV20240,4,good,ORD10240,PROD100,CUST2640
REV20241,4,good,ORD10241,PROD102,CUST5457
REV20242,2,bad,ORD10242,PROD107,CUST1395
REV20243,1,"very bad",ORD10243,PROD101,CUST5595
REV20244,4,good,ORD10244,PROD102,CUST2500
REV20245,2,bad,ORD10245,PROD101,CUST3649
REV20246,4,good,ORD10246,PROD105,CUST4988
REV20247,1,"very bad",ORD10247,PROD107,CUST5522
REV20248,5,"very good",ORD10248,PROD102,CUST3766
REV20249,5,"very good",ORD10249,PROD105,CUST2332
REV20250,4,good,ORD10250,PROD101,CUST5409
REV20251,3,average,ORD10251,PROD100,CUST1101
REV20252,1,"very bad",ORD10252,PROD106,CUST4425
REV20253,4,good,ORD10253,PROD110,CUST4623
REV20254,2,bad,ORD10254,PROD114,CUST1872
REV20255,2,bad,ORD10255,PROD114,CUST3649
REV20256,3,average,ORD10256,PROD109,CUST1662
REV20257,5,"very good",ORD10257,PROD108,CUST2020
REV20258,5,"very good",ORD10258,PROD104,CUST1954
REV20259,3,average,ORD10259,PROD101,CUST3325
REV20260,5,"very good",ORD10260,PROD102,CUST1133
REV20261,1,"very bad",ORD10261,PROD101,CUST1762
REV20262,5,"very good",ORD10262,PROD108,CUST1518
REV20263,5,"very good",ORD10263,PROD111,CUST4258
REV20264,2,bad,ORD10264,PROD109,CUST3773
REV20265,3,average,ORD10265,PROD107,CUST4410
REV20266,4,good,ORD10266,PROD107,CUST1103
REV20267,1,"very bad",ORD10267,PROD107,CUST3327
REV20268,5,"very good",ORD10268,PROD106,CUST2917
REV20269,1,"very bad",ORD10269,PROD108,CUST3174
REV20270,3,average,ORD10270,PROD102,CUST5419
REV20271,5,"very good",ORD10271,PROD114,CUST4068
REV20272,3,average,ORD10272,PROD100,CUST3909
REV20273,4,good,ORD10273,PROD102,CUST5886
REV20274,3,average,ORD10274,PROD109,CUST5198
REV20275,1,"very bad",ORD10275,PROD100,CUST2961
REV20276,3,average,ORD10276,PROD107,CUST3245
REV20277,2,bad,ORD10277,PROD109,CUST4040
REV20278,1,"very bad",ORD10278,PROD103,CUST1375
REV20279,2,bad,ORD10279,PROD114,CUST4647
REV20280,2,bad,ORD10280,PROD112,CUST4359
REV20281,4,good,ORD10281,PROD103,CUST5540
REV20282,2,bad,ORD10282,PROD107,CUST3904
REV20283,4,good,ORD10283,PROD103,CUST1742
REV20284,3,average,ORD10284,PROD100,CUST4273
REV20285,2,bad,ORD10285,PROD101,CUST5346
REV20286,3,average,ORD10286,PROD108,CUST5324
REV20287,1,"very bad",ORD10287,PROD108,CUST2838
REV20288,2,bad,ORD10288,PROD111,CUST1581
REV20289,3,average,ORD10289,PROD114,CUST1579
REV20290,2,bad,ORD10290,PROD111,CUST3487
REV20291,5,"very good",ORD10291,PROD104,CUST5561
REV20292,5,"very good",ORD10292,PROD110,CUST5616
REV20293,4,good,ORD10293,PROD114,CUST4708
REV20294,5,"very good",ORD10294,PROD114,CUST5644
REV20295,5,"very good",ORD10295,PROD112,CUST2957
REV20296,3,average,ORD10296,PROD101,CUST2019
REV20297,5,"very good",ORD10297,PROD105,CUST5221
REV20298,1,"very bad",ORD10298,PROD103,CUST4237
REV20299,2,bad,ORD10299,PROD113,CUST3172
REV20300,5,"very good",ORD10300,PROD107,CUST2321
REV20301,2,bad,ORD10301,PROD110,CUST5839
REV20302,2,bad,ORD10302,PROD111,CUST2117
REV20303,5,"very good",ORD10303,PROD105,CUST1544
REV20304,3,average,ORD10304,PROD106,CUST3146
REV20305,2,bad,ORD10305,PROD114,CUST5063
REV20306,2,bad,ORD10306,PROD110,CUST2522
REV20307,1,"very bad",ORD10307,PROD106,CUST2928
REV20308,1,"very bad",ORD10308,PROD105,CUST1953
REV20309,3,average,ORD10309,PROD113,CUST5329
REV20310,1,"very bad",ORD10310,PROD106,CUST2734
REV20311,5,"very good",ORD10311,PROD103,CUST3282
REV20312,1,"very bad",ORD10312,PROD105,CUST2894
REV20313,4,good,ORD10313,PROD104,CUST3453
REV20314,5,"very good",ORD10314,PROD103,CUST1359
REV20315,2,bad,ORD10315,PROD102,CUST2179
REV20316,3,average,ORD10316,PROD114,CUST5812
REV20317,4,good,ORD10317,PROD100,CUST3746
REV20318,5,"very good",ORD10318,PROD100,CUST5966
REV20319,2,bad,ORD10319,PROD110,CUST3175
REV20320,5,"very good",ORD10320,PROD109,CUST1430
REV20321,3,average,ORD10321,PROD113,CUST1731
REV20322,1,"very bad",ORD10322,PROD106,CUST2874
REV20323,3,average,ORD10323,PROD111,CUST1224
REV20324,4,good,ORD10324,PROD111,CUST1180
REV20325,5,"very good",ORD10325,PROD113,CUST1139
REV20326,2,bad,ORD10326,PROD110,CUST2404
REV20327,1,"very bad",ORD10327,PROD101,CUST3438
REV20328,3,average,ORD10328,PROD111,CUST2854
REV20329,3,average,ORD10329,PROD110,CUST1434
REV20330,2,bad,ORD10330,PROD100,CUST1829
REV20331,4,good,ORD10331,PROD111,CUST5677
REV20332,5,"very good",ORD10332,PROD100,CUST1782
REV20333,5,"very good",ORD10333,PROD100,CUST5827
REV20334,5,"very good",ORD10334,PROD112,CUST1318
REV20335,2,bad,ORD10335,PROD108,CUST1802
REV20336,5,"very good",ORD10336,PROD110,CUST3346
REV20337,5,"very good",ORD10337,PROD103,CUST4417
REV20338,2,bad,ORD10338,PROD100,CUST4516
REV20339,1,"very bad",ORD10339,PROD103,CUST5739
REV20340,1,"very bad",ORD10340,PROD106,CUST2638
REV20341,5,"very good",ORD10341,PROD113,CUST3037
REV20342,4,good,ORD10342,PROD101,CUST5246
REV20343,1,"very bad",ORD10343,PROD107,CUST1008
REV20344,5,"very good",ORD10344,PROD100,CUST4854
REV20345,1,"very bad",ORD10345,PROD109,CUST4085
REV20346,2,bad,ORD10346,PROD103,CUST4964
REV20347,1,"very bad",ORD10347,PROD103,CUST5752
REV20348,3,average,ORD10348,PROD107,CUST2923
REV20349,3,average,ORD10349,PROD112,CUST1509
REV20350,2,bad,ORD10350,PROD109,CUST5722
REV20351,3,average,ORD10351,PROD111,CUST4191
REV20352,1,"very bad",ORD10352,PROD112,CUST5111
REV20353,5,"very good",ORD10353,PROD112,CUST1363
REV20354,1,"very bad",ORD10354,PROD112,CUST5665
REV20355,2,bad,ORD10355,PROD110,CUST5925
REV20356,4,good,ORD10356,PROD103,CUST4949
REV20357,4,good,ORD10357,PROD102,CUST3141
REV20358,3,average,ORD10358,PROD107,CUST5435
REV20359,2,bad,ORD10359,PROD106,CUST3978
REV20360,2,bad,ORD10360,PROD101,CUST2181
REV20361,3,average,ORD10361,PROD107,CUST4101
REV20362,5,"very good",ORD10362,PROD108,CUST1859
REV20363,2,bad,ORD10363,PROD101,CUST5637
REV20364,3,average,ORD10364,PROD114,CUST1950
REV20365,5,"very good",ORD10365,PROD102,CUST4958
REV20366,4,good,ORD10366,PROD107,CUST1603
REV20367,4,good,ORD10367,PROD101,CUST5529
REV20368,5,"very good",ORD10368,PROD100,CUST1183
REV20369,4,good,ORD10369,PROD104,CUST3931
REV20370,5,"very good",ORD10370,PROD104,CUST2238
REV20371,1,"very bad",ORD10371,PROD102,CUST2696
REV20372,5,"very good",ORD10372,PROD107,CUST4530
REV20373,1,"very bad",ORD10373,PROD101,CUST2419
REV20374,4,good,ORD10374,PROD109,CUST2592
REV20375,5,"very good",ORD10375,PROD114,CUST2547
REV20376,1,"very bad",ORD10376,PROD106,CUST4021
REV20377,3,average,ORD10377,PROD106,CUST3733
REV20378,3,average,ORD10378,PROD100,CUST3098
REV20379,5,"very good",ORD10379,PROD111,CUST5183
REV20380,2,bad,ORD10380,PROD101,CUST5023
REV20381,3,average,ORD10381,PROD112,CUST2257
REV20382,1,"very bad",ORD10382,PROD109,CUST4986
REV20383,1,"very bad",ORD10383,PROD101,CUST2361
REV20384,4,good,ORD10384,PROD114,CUST1205
REV20385,2,bad,ORD10385,PROD106,CUST1388
REV20386,1,"very bad",ORD10386,PROD104,CUST4534
REV20387,2,bad,ORD10387,PROD105,CUST3643
REV20388,2,bad,ORD10388,PROD107,CUST3031
REV20389,2,bad,ORD10389,PROD102,CUST5243
REV20390,4,good,ORD10390,PROD102,CUST5050
REV20391,5,"very good",ORD10391,PROD106,CUST1064
REV20392,5,"very good",ORD10392,PROD100,CUST5014
REV20393,4,good,ORD10393,PROD100,CUST2633
REV20394,5,"very good",ORD10394,PROD105,CUST5678
REV20395,1,"very bad",ORD10395,PROD107,CUST2954
REV20396,4,good,ORD10396,PROD104,CUST3737
REV20397,2,bad,ORD10397,PROD100,CUST3060
REV20398,3,average,ORD10398,PROD104,CUST3332
REV20399,1,"very bad",ORD10399,PROD108,CUST2985
REV20400,1,"very bad",ORD10400,PROD100,CUST1707
REV20401,2,bad,ORD10401,PROD104,CUST4239
REV20402,1,"very bad",ORD10402,PROD108,CUST2686
REV20403,2,bad,ORD10403,PROD112,CUST3774
REV20404,1,"very bad",ORD10404,PROD105,CUST3392
REV20405,4,good,ORD10405,PROD107,CUST1541
REV20406,4,good,ORD10406,PROD111,CUST4678
REV20407,2,bad,ORD10407,PROD110,CUST2438
REV20408,3,average,ORD10408,PROD104,CUST2206
REV20409,3,average,ORD10409,PROD114,CUST1976
REV20410,4,good,ORD10410,PROD103,CUST2742
REV20411,1,"very bad",ORD10411,PROD110,CUST5251
REV20412,5,"very good",ORD10412,PROD113,CUST1319
REV20413,5,"very good",ORD10413,PROD103,CUST5318
REV20414,4,good,ORD10414,PROD103,CUST5441
REV20415,1,"very bad",ORD10415,PROD109,CUST1637
REV20416,3,average,ORD10416,PROD111,CUST3096
REV20417,1,"very bad",ORD10417,PROD104,CUST5619
REV20418,2,bad,ORD10418,PROD102,CUST3497
REV20419,1,"very bad",ORD10419,PROD107,CUST1281
REV20420,2,bad,ORD10420,PROD110,CUST3502
REV20421,2,bad,ORD10421,PROD106,CUST4671
REV20422,4,good,ORD10422,PROD101,CUST1258
REV20423,2,bad,ORD10423,PROD114,CUST1204
REV20424,5,"very good",ORD10424,PROD110,CUST2988
REV20425,2,bad,ORD10425,PROD106,CUST3225
REV20426,5,"very good",ORD10426,PROD107,CUST4090
REV20427,3,average,ORD10427,PROD107,CUST5919
REV20428,3,average,ORD10428,PROD101,CUST3221
REV20429,4,good,ORD10429,PROD105,CUST5306
REV20430,5,"very good",ORD10430,PROD113,CUST4192
REV20431,4,good,ORD10431,PROD112,CUST3839
REV20432,1,"very bad",ORD10432,PROD108,CUST2436
REV20433,5,"very good",ORD10433,PROD101,CUST1857
REV20434,5,"very good",ORD10434,PROD106,CUST3958
REV20435,5,"very good",ORD10435,PROD104,CUST1640
REV20436,1,"very bad",ORD10436,PROD102,CUST1302
REV20437,5,"very good",ORD10437,PROD103,CUST5366
REV20438,4,good,ORD10438,PROD104,CUST3808
REV20439,5,"very good",ORD10439,PROD112,CUST5610
REV20440,5,"very good",ORD10440,PROD112,CUST1875
REV20441,1,"very bad",ORD10441,PROD101,CUST5811
REV20442,1,"very bad",ORD10442,PROD105,CUST1939
REV20443,1,"very bad",ORD10443,PROD108,CUST1083
REV20444,3,average,ORD10444,PROD100,CUST5627
REV20445,4,good,ORD10445,PROD109,CUST2216
REV20446,4,good,ORD10446,PROD108,CUST4396
REV20447,1,"very bad",ORD10447,PROD103,CUST2220
REV20448,1,"very bad",ORD10448,PROD110,CUST2713
REV20449,1,"very bad",ORD10449,PROD110,CUST4346
REV20450,2,bad,ORD10450,PROD114,CUST4118
REV20451,3,average,ORD10451,PROD100,CUST5325
REV20452,4,good,ORD10452,PROD101,CUST5462
REV20453,3,average,ORD10453,PROD102,CUST4364
REV20454,2,bad,ORD10454,PROD110,CUST1389
REV20455,2,bad,ORD10455,PROD113,CUST3346
REV20456,4,good,ORD10456,PROD109,CUST1029
REV20457,4,good,ORD10457,PROD107,CUST4080
REV20458,4,good,ORD10458,PROD102,CUST4995
REV20459,2,bad,ORD10459,PROD114,CUST1350
REV20460,4,good,ORD10460,PROD100,CUST5182
REV20461,3,average,ORD10461,PROD100,CUST1917
REV20462,1,"very bad",ORD10462,PROD114,CUST4543
REV20463,1,"very bad",ORD10463,PROD108,CUST3612
REV20464,2,bad,ORD10464,PROD109,CUST3254
REV20465,2,bad,ORD10465,PROD104,CUST1111
REV20466,5,"very good",ORD10466,PROD108,CUST5028
REV20467,4,good,ORD10467,PROD102,CUST4624
REV20468,4,good,ORD10468,PROD106,CUST1129
REV20469,1,"very bad",ORD10469,PROD111,CUST3819
REV20470,2,bad,ORD10470,PROD112,CUST1320
REV20471,3,average,ORD10471,PROD103,CUST5048
REV20472,3,average,ORD10472,PROD106,CUST4573
REV20473,4,good,ORD10473,PROD110,CUST1275
REV20474,2,bad,ORD10474,PROD107,CUST1178
REV20475,4,good,ORD10475,PROD112,CUST2576
REV20476,4,good,ORD10476,PROD101,CUST5203
REV20477,5,"very good",ORD10477,PROD113,CUST4408
REV20478,3,average,ORD10478,PROD104,CUST5597
REV20479,5,"very good",ORD10479,PROD111,CUST3832
REV20480,2,bad,ORD10480,PROD114,CUST4407
REV20481,4,good,ORD10481,PROD106,CUST3790
REV20482,3,average,ORD10482,PROD108,CUST3995
REV20483,5,"very good",ORD10483,PROD108,CUST3692
REV20484,2,bad,ORD10484,PROD102,CUST2626
REV20485,3,average,ORD10485,PROD112,CUST2201
REV20486,1,"very bad",ORD10486,PROD109,CUST1182
REV20487,2,bad,ORD10487,PROD110,CUST1168
REV20488,4,good,ORD10488,PROD113,CUST4686
REV20489,3,average,ORD10489,PROD102,CUST4145
REV20490,5,"very good",ORD10490,PROD107,CUST2679
REV20491,2,bad,ORD10491,PROD109,CUST2683
REV20492,2,bad,ORD10492,PROD107,CUST4112
REV20493,5,"very good",ORD10493,PROD109,CUST1241
REV20494,5,"very good",ORD10494,PROD103,CUST4208
REV20495,4,good,ORD10495,PROD114,CUST1283
REV20496,5,"very good",ORD10496,PROD101,CUST4981
REV20497,1,"very bad",ORD10497,PROD111,CUST3974
REV20498,5,"very good",ORD10498,PROD113,CUST5518
REV20499,5,"very good",ORD10499,PROD113,CUST5274
REV20500,2,bad,ORD10500,PROD110,CUST4009
REV20501,4,good,ORD10501,PROD111,CUST3002
REV20502,1,"very bad",ORD10502,PROD113,CUST4137
REV20503,4,good,ORD10503,PROD102,CUST4045
REV20504,4,good,ORD10504,PROD100,CUST1438
REV20505,1,"very bad",ORD10505,PROD101,CUST3891
REV20506,5,"very good",ORD10506,PROD104,CUST5045
REV20507,4,good,ORD10507,PROD109,CUST4757
REV20508,5,"very good",ORD10508,PROD102,CUST4304
REV20509,2,bad,ORD10509,PROD114,CUST2578
REV20510,2,bad,ORD10510,PROD105,CUST2993
REV20511,3,average,ORD10511,PROD111,CUST1839
